nurseryName,nurseryOfsted
Joanne Clifford T/A Joanne Clifford Childcare,EY337569
Joanne Cole T/A Little Hands,EY402125
Joanne Emma Johnson T/A Jo'S Childminding,EY481811
Joanne Holland T/A Love Learning Childminding,2756142
Joanne Humphrey T/A Joanne'S Childminding,2740193
Joanne Logan,2674271
Joanne Mccarthy T/A Joanne’S Little Learners,2757648
Joanne Sharpe T/A Jo'S Superstarschildminding Services,EY488058
Jodilee Cook T/A Little Bambi’S Childminding,CA000026
Josephine Sara Leigh Grant,208740
Judith Fogg T/A Happyfaces,EY475042
Julie  Natalie Walker,EY356160
Julie Ann Coster T/A  Julies Childcare,EY469772
Julie Ann Roan,EY556737
Julie Ann Roe,208815
Julie Beeken,209247
Julie Clayton T/A Mini Miracles Daycare,EY438202
Julie Higgins Zajac T/A Jumping Jacks,EY432720
Julie Mustoe,209168
Justine Willis T/A Juju'S Shoe Childminding,EY307506
Kaleidoscope Care Sleaford - The Drove,2641593
Kaleidoscope Care Sleaford - William Alvey,2641268
Karen Dodds T/A Karen Dodds Childminding,257423
Karen Naunton,954403
Karina Baniewska,EY433523
Katherine Cook T/A Little Explorers,EY555011
Katherine Leader T/A Katherine Leader Childminding,EY336440
Kathryn Axton T/A Little Lambs Preschool,2647867
Kathryn Marie Shaw,EY433953
Katie Donnison,2760654
Katie Elizabeth Adams,2757209
Katie Peace T/A Katie'S Childcare,209213
Keli-Rose Holmes T/A Red Robins Daycare,EY562454
Kelly Browett T/A Little Buttons,EY439928
Kelly Meadows & Samantha Agunbiade T/A Bright Beginnings,2633187
Kelly Scott T/A Kcs,2671056
Kelly Stewart,EY542562
Kelsey Primary School,120469
Kerry Heafield,208840
Kerry Whelan T/A Buds And Blooms,EY552098
Keryn Siobhan Barkham T/A River Bears,2682504
Kids Corner Nursery,EY456706
Kids Hangout @ Parish Church School Kids Club,253659
Kimberley Aldridge,2730676
Kimberley Copeland T/A Creative Hearts Day Care,2531588
Kings Farm Day Nursery,EY269591
Kingsdown Nursery School,126562
Kirkstone House,120729
Kirstie Johnston T/A Angels Childcare,EY424578
Kirton Kids Club - After School,253451
Kirton Primary School,120415
La Compagnie Mon Ami Limited T/A Mon Ami Children'S Nursery @ 84-86 Woodville Road Boston,EY545194
La Compagnie Mon Ami Limited T/A Mon Ami Children'S Nursery @ Ormsby Lodge Alford,EY545197
La Compagnie Mon Ami Limited T/A Mon Ami Day Nursery @ The Chimes,EY545195
Ladybirds Preschool,EY317986
Lambs After School Club,EY469353
Langtoft Preschool,253771
Laura Goodwin T/A Little Legs Child Minding,EY461648
Laura Locket Ltd T/A Little Lockets Nursery,EY476131
Laura Redding T/A Bobbin Bubbles,EY468429
Lauren Dowse T/A Laurens House Childminding,EY562916
Leanne Mackie T/A Little Lea’S Childminding,2686985
Lee Ann Wooding T/A Happy Cherubs Childminding Ltd,2663236
Legsby Primary School,120457
Lek'S Kids Club,2655485
Leslie Manser Primary School,120509
Lifeline Family Care Limited T/A St Nicholas Day Nursery,EY364811
Lilliput Day Nursery Spalding,EY472209
Limes Play And Learn Limited,EY496886
Linchfield Academy,147677
Lincoln Bishop King Church Of England Community Primary School,120630
Lincoln City Foundation After School Club,2605474
Lincoln Monks Abbey Primary School,120429
Lincolnshire Y.M.C.A Lts T/A Ymca Beginnings Day Care,EY395902
Lincolnshire Y.M.C.A Lts T/A Ymca Showroom Preschool Playgroup,2653836
Lincolnshire Y.M.C.A Lts T/A Ymca Woodlands Daycare,EY319646
Linda Ashby T/A Ruskington Rascals Preschool,EY309842
Lisa Ashby T/A Lisa'S Tiny Tots,EY339978
Lisa Seelig Moore,208928
Little Acorns Day Nursery (Ea) Ltd,2753074
Little Acorns Pre-School Playgroup (Ingham) T/A Little Acorns Preschool Playgroup,253462
Little Chiefs Day Nurseries Limited T/A Little Chiefs Day Nursery,2706053
Little Gems Day Nursery,EY551370
Little Goslings,2640138
Little Jesters (Faldingworth Primary School),EY491786
Little Leaps,EY367483
Little Learners (Skegness) Limited T/A Little Learners Nursery School,EY553835
Little Learners (Skegness) Limited T/A Little Learners Pre-School,EY553836
Little Lions Nursery Ltd,EY550521
Little Oaks Childcare (Spalding) Ltd,2644560
Little Robins Preschool,EY270955
Littlegates @ Claypole School,2542405
Littlegates For Littlepeople Children'S Nursery,253665
Liz Parkin T/A Liz Parkin Childcare,EY439111
Long Bennington Preschool,EY482742
Long Sutton County Primary School,147566
Lora Mancheva T/A Miles Of Smiles Childminding,2662116
Lorraine Brooks T/A Lorraine Brooks Childminding,EY495299
Louise Elliott T/A Lou'S Little Monkeys,208972
Louise Foyster T/A Precious Gems Home Childcare,2758687
Louise Gwyther T/A Lou'S Little Explorers,EY449404
Louise Myers T/A Loobyloos Childcare,EY344848
Louise Scullion T/A Little Loulou'S Childcare,EY499942
Louise Stamp,208810
Louth Kidgate Primary School,138637
Lucy Flowers T/A The Ark At Waddington,2660835
Lucy O'Connor T/A Spinning Tops Day Nursery,2654971
Lutton St Nicholas Primary Academy,148747
Lyn Young T/A Young Tots Day Nursery,253704
Lyndsay Botten T/A Lyndsay Botten Childminding,EY410995
Lynette Smith T/A Lynette Smith Childminding,209006
Lynn Atkinson T/A Girl Fridays Child-Minding ,EY362474
Lynn Graham T/A The Village Kids Club @ The Holt,EY491079
Lynn Graham T/A The Village Kids Club @ Witham St Hughs,EY341820
Lynn Graham T/A The Village Kids Club@Manor Farm,EY538003
Lynn Heath Graham T/A The Village Pre-School & Kids Club Skellingthorpe,EY283153
Lynn Heath Graham T/A The Village Pre-School At St Hughs North Hykeham,2701711
Lynne Borman,208847
Lynne Edwards T/A The Happy Hive Childcare,EY482773
Lynnette Freeman T/A Tiny Footprints Childminding,EY460977
Mablethorpe Primary Academy,138445
Maggie Rose Sharpe,2729531
Magical Moments Day Care,EY370711
Manor Leas Junior School,139470
Manthorpe Preschool Playgroup,253484
Mareham-Le-Fen Ce Primary School,120576
Mariana Sulikova T/A Maya'S Childminding,EY453468
Marie Burton,209177
Marie Goodacre T/A Rees,208542
Marie Hardy,EY102992
Marisa Branco T/A Miza'S House,2744712
Market Deeping William Hildyard Church Of England Primary & Nursery School,120695
Marshchapel Primary School,120461
Maureen Gammon T/A Park School Day Nursery,EY537524
Maxine Napier T/A Maximum Childminding,EY440837
Me Sports In The Community Cic North Kesteven Satellite Centre,2700544
Megan Jones,2670185
Mel Hart T/A Albion House Nursery,EY318956
Melanie Hart T/A The Old School Nursery,2685331
Melanie Kendrick T/A Little Sparkles Childminding,EY374185
Melissa Cross T/A Melissa Cross Childminding,EY305966
Melissa Louise Mitchell T/A Mels Munchkins,EY542467
Melissa Wheatley,EY426448
Mercer'S Wood Academy,139332
Metheringham Preschool,253567
Meynell Kindergarten,EY340290
Michelle Mantaleris T/A Little Leverets Childcare,2700146
Michelle Palmer,208897
Michelle Polley T/A Tinkertots,EY270961
Michelle Pope T/A Michelle'S Childminding Services,EY427031
Michelle Walker T/A Little Heart Childminding (Agency Ref: Sca170149),CA000026
Middle Rasen Nursery,EY344802
Morton C Of E Primary School,143256
Morton Trentside Primary School,120464
Moulton Harrox Preschool,EY448626
Mount Street Academy,137551
Msp Clubs @ Bourne Westfield Primary Academy,2624747
Msp Clubs @ Yarborough Leisure Centre,EY561205
Msp Clubs @St Gilbert'S Primary School,2655662
Munchkins Kindergarten,EY358868
My Nursery,EY423021
Myfanwy Aplin,2744938
Natalie Totty T/A Busy Totts Childminding,EY403312
Natasha Miller T/A Miller’S Minding,2697290
Natasha Rudkin T/A Tasha'S Tiny Tots,CA000017
Natasha Skelton T/A Icare Childcare,EY375448
Navenby Ce Primary School,120532
Neil Kay T/A Neil Kay Ofsted Registered Childminder,EY491206
Nettleham Infant School And Nursery School,138639
Nettleton Community School,120465
New Leake Primary School,120466
New Tribes Mission T/A Noah'S Ark Nursery,2637865
Newton-On-Trent Ce Primary School,120578
Nicola Bonham T/A Muddy Puddles Daycare,EY470623
Nicola Christofi T/A Babybear Childcare,EY501634
Nicola Jayne Mitchell,208558
Nicola O'Leary T/A Nicola'S Childminding,EY560504
Nicola White T/A Nicki White Childminding,EY441761
Nicole Barnett T/A Little Pickles Daycare,2511443
Nocton Community Primary School,120383
Normanby-By-Spital Primary School,120468
North Hykeham All Saints Ce Primary School,120533
North Hykeham Fosse Way Academy,136790
North Scarle Primary School,120385
North Thoresby Primary School,139868
Nurture Hub Day Nursery Horncastle Ltd T/A Nurture Hub Daycare Nursery Horncastle Ltd,2769935
Osbournby Primary School,120386
Oscars @ Monks Abbey Primary,2724689
Osgodby Primary School,120471
Our Lady Of Good Counsel Catholic Primary,139621
Our Lady Of Lincoln Catholic Primary School,139622
Pandas Kids Club,EY291673
Pandas South Hykeham,EY321158
Paper Moon Day Nursery Boultham Park Road,EY272011
Paper Moon Day Nursery Jasmin Road,253695
Paris Danielle Cooper,2695596
Partney Church Of England (Va) Primary School Pre-Reception,120627
Paula Bojang-Brett T/A Happy Bunnies,EY428616
Paula Lee T/A Paula Lee Childminding,EY236302
Paula Maycock T/A Spilsby Play Group,253749
Pauline Almond T/A Riverside Early Years Playgroup,EY252732
Pauline Braddick,EY422976
Pegasus Child Care Centre,253721
Penny Gillyett,EY413844
Phoenix 21 Ltd T/A Trinity Day Nursery,EY442539
Piggywigs,2744053
Pinchbeck Kids Club,EY257900
Playlincs Limited T/A The Mulberry Bush Nursery,2539359
Playzone Kids Club Ltd Langtoft,EY339840
Pointon St Gilbert Of Sempringham Ce Primary School,120606
Poplar Farm Primary School,145902
Poppy Frances Chiumento,2734162
Portland Kindergarten,253508
Potterhanworth Ce Primary School,120534
Premier Education Wac @ Nettleham Junior School,2698360
Premier Education Wac@Welton St Mary'S,2670529
Puddle Ducks Preschool (Alvingham),EY318294
Quarrington Preschool,EY375813
Qwackers Pre-School,2769656
Rachel Barker Smith T/A Rachel'S House Childminding,EY136344
Rachel Benton,EY377190
Rachel Eckersley T/A Rachel'S Childminding Service,EY216511
Rachel Waldie,208978
Rachel Wigglesworth T/A Wiggly Woo Childcare,2608618
Rafa Kidz Limited T/A Rafa Kidz Cranwell,2723664
Rafa Kidz Limited T/A Rafa Kidz Digby,2578832
Rainbow Corner Day Nursery Limited,EY553601
Rainbow Nursery Long Sutton,EY266850
Rainbow Playgroup Gainsborough,EY341153
"Rand Farm Park Day Nursery Ltd T/A Rand Farm Park Day Nursery, Pre School And Activity Day Camps",2714103
Rauceby Preschool,253604
Rauceby School (Church Of England),138284
Rebecca Burr,208739
Rebecca Canner T/A Little Learners Lincoln,2757552
Rebecca Nicoll T/A Willow Tree Childminding,EY549660
Rebecca Reynolds T/A Kids Corner Child Minding  ,EY429483
Rebecca Ward T/A Messy Hands,EY395613
Rebekah Seal T/A Buzzy Bees,EY545494
Red Hen Children'S Day Nursery,EY279807
Reepham Ce Primary School,120581
Reepham Preschool,EY292508
Riverside Play Group Louth,EY427422
Ropsley Ce Primary School,120536
Rosebery Avenue Community Playgroup,253442
Rosemary Fenn T/A Rosiestots Childminding Services,111369
Ruskington Chestnut Street Ce Primary School,138324
Ruskington Winchelsea Primary School,120496
Ruth O'Sullivan T/A Little Stars Childminding,EY492601
Sally Drew ,260511
Sally Dunthorne,208775
Sally Jacklin T/A Market Rasen Pre School,EY272440
Sally Macfarlane T/A Rascals,EY377471
Sally Macfarlane T/A Rascals Natural Learning,EY547402
Sally Travis,EY362669
Sallyann Sellers T/A Sally'S Little Butterflies,EY536095
Samantha Bright T/A Bright Stars Childminding,2747623
Samantha Evangelista T/A Sam'S House Childminding,2749018
Samantha Jane Goodman,EY405092
Samantha Scarisbrick T/A Sammi'S Childminding,EY548305
Samantha Stapleton T/A Cathedral Childcare,EY428978
Samantha Wallace T/A Sam'S Seedlings,EY465027
Sandhills Limited T/A Sandhills Day Nursery,2558045
Sandra Gilbert,EY407428
Sandra Goddard T/A Smiley Faces Childcare,2608206
Sandra Palmer T/A Rara'S Rascals,EY276582
Sandy Fetters T/A Edelweiss Childcare,CA000026
Sara Sheppard T/A Saras Munchkins,EY548440
Sarah Asher T/A Smartie Pants Day Nursery,EY444788
Sarah Asher T/A Smartie Pants Nursery @ Bardney,2745519
Sarah Asher T/A Smartie Pants Sutton Bridge,2623168
Sarah Asher T/A Smartie Pants Tetney,EY561104
Sarah Beale T/A Little Scallywags Skellingthorpe,253573
Sarah Constable T/A Sarah'S Tiney Home Childcare,CA000038
Sarah Davis T/A Sarah'S Childminding,155266
Sarah Dawson T/A Willows Childcare,EY481110
Sarah Frow T/A Little Stars Childminding,EY259406
Sarah Jayne Boyden,EY408161
Sarah Kosinski-Drayton,EY222447
Sarah Moore T/A Little Legs,EY409512
Sarah Watson T/A Dancing Daffodils Childminding Service,EY493109
Saxilby Ce Primary School,120583
Scamblesby Church Of England Primary School,120584
Scamps  Club,268471
Scothern Ellison Boulters Ce Primary School,138753
Scotter Pre-School Cio,2562959
Scotter Primary School,120473
Sdn (Sleaford) Limited T/A Sdn (Sleaford) Limited,2699117
